SEGID,FT,AnnWkAM15,AnnWkMD15,AnnWkPM15,AnnWkAMHr,AnnWkMDHr,AnnWkPMHr,AnnWkAMPrd,AnnWkMDPrd,AnnWkPMPrd
3030_000.6,4.0,0.7,0.59,0.84,0.65,0.54,0.77,0.53,0.46,0.71
3030_000.8,4.0,0.52,0.4,0.59,0.48,0.37,0.54,0.4,0.31,0.5
3031_000.0,5.0,0.72,0.48,0.68,0.66,0.44,0.63,0.55,0.38,0.56
3031_000.4,5.0,0.06,0.08,0.24,0.06,0.08,0.22,0.05,0.07,0.2
3031_002.2,4.0,0.22,0.2,0.41,0.21,0.19,0.37,0.17,0.16,0.34
3031_003.1,4.0,0.36,0.26,0.52,0.33,0.24,0.48,0.27,0.2,0.44
3032_000.0,4.0,0.48,0.48,0.52,0.44,0.45,0.48,0.36,0.38,0.44
3032_000.3,4.0,0.6,0.56,0.68,0.56,0.51,0.62,0.46,0.44,0.57
3032_000.5,4.0,0.6,0.52,0.61,0.55,0.48,0.56,0.46,0.41,0.52
3032_000.7,4.0,0.65,0.54,0.65,0.6,0.49,0.6,0.5,0.42,0.55
3032_000.9,4.0,0.9,0.71,0.85,0.86,0.65,0.78,0.71,0.55,0.72
3032_001.0,4.0,0.56,0.3,0.52,0.51,0.27,0.47,0.42,0.23,0.44
3033_000.0,4.0,0.26,0.24,0.47,0.24,0.22,0.43,0.2,0.19,0.4
3034_000.0,2.0,0.28,0.37,0.72,0.26,0.34,0.66,0.21,0.29,0.61
3034_000.8,2.0,0.31,0.39,0.56,0.29,0.36,0.51,0.24,0.3,0.47
3034_001.0,2.0,0.53,0.61,0.79,0.48,0.56,0.73,0.4,0.48,0.67
3035_000.0,3.0,0.32,0.22,0.38,0.3,0.2,0.35,0.25,0.17,0.32
3035_000.3,3.0,0.63,0.63,0.95,0.58,0.58,0.9,0.48,0.5,0.81
3035_000.9,3.0,0.45,0.4,0.7,0.42,0.37,0.65,0.35,0.32,0.58
3035_001.4,3.0,0.21,0.19,0.32,0.19,0.17,0.29,0.16,0.15,0.26
3035_003.2,3.0,0.8,0.55,0.83,0.74,0.51,0.76,0.61,0.43,0.7
3037_000.0,4.0,0.18,0.18,0.25,0.17,0.17,0.23,0.14,0.15,0.21
3038_000.0,4.0,0.11,0.11,0.15,0.1,0.1,0.14,0.08,0.08,0.13
3038_000.4,4.0,0.43,0.33,0.46,0.39,0.3,0.42,0.32,0.26,0.39
3038_000.8,4.0,0.34,0.32,0.44,0.31,0.29,0.4,0.26,0.25,0.37
3038_001.1,4.0,0.51,0.44,0.51,0.46,0.4,0.47,0.38,0.34,0.43
3038_001.3,4.0,0.39,0.31,0.52,0.36,0.28,0.48,0.29,0.24,0.44
3039_000.0,4.0,0.08,0.08,0.13,0.07,0.07,0.11,0.06,0.06,0.1
3039_000.2,3.0,0.17,0.12,0.21,0.15,0.1,0.19,0.13,0.09,0.16
3039_000.6,5.0,0.15,0.11,0.2,0.13,0.1,0.17,0.11,0.08,0.15
3039_001.7,5.0,0.06,0.06,0.09,0.06,0.06,0.08,0.05,0.05,0.07
3040_000.0,3.0,0.53,0.38,0.55,0.49,0.35,0.5,0.41,0.3,0.46
3040_000.2,3.0,0.31,0.26,0.93,0.29,0.24,0.88,0.24,0.2,0.81
3040_000.6,3.0,0.52,0.19,0.76,0.48,0.18,0.7,0.4,0.15,0.64
3040_001.1,3.0,0.56,0.54,0.92,0.52,0.5,0.87,0.43,0.42,0.8
3040_002.5,3.0,0.37,0.36,0.79,0.34,0.33,0.72,0.29,0.29,0.65
3040_003.3,3.0,0.32,0.26,0.63,0.3,0.24,0.58,0.24,0.2,0.54
3041_000.0,5.0,0.15,0.1,0.19,0.13,0.09,0.17,0.11,0.08,0.15
3042_000.0,3.0,0.45,0.55,0.98,0.41,0.51,0.95,0.34,0.43,0.88
3042_000.3,3.0,0.5,0.53,0.85,0.46,0.48,0.79,0.38,0.41,0.72
3042_000.5,2.0,0.5,0.49,1.09,0.46,0.45,1.06,0.38,0.38,0.98
3042_000.8,2.0,0.59,0.58,1.19,0.54,0.54,1.17,0.45,0.46,1.08
3042_001.0,2.0,0.56,0.56,1.0,0.52,0.52,0.97,0.43,0.44,0.9
3042_001.3,2.0,0.67,0.55,0.97,0.62,0.51,0.92,0.51,0.43,0.85
3042_001.6,2.0,0.72,0.57,0.87,0.66,0.52,0.8,0.55,0.45,0.73
3042_002.0,2.0,0.53,0.47,0.71,0.49,0.44,0.65,0.4,0.37,0.6
3042_002.5,3.0,0.28,0.25,0.36,0.26,0.23,0.33,0.21,0.2,0.31
3044_000.0,4.0,0.57,0.63,0.91,0.53,0.58,0.86,0.44,0.49,0.8
3044_000.2,4.0,0.35,0.4,0.54,0.32,0.37,0.49,0.27,0.32,0.46
3050_000.0,3.0,0.93,0.8,1.02,0.88,0.73,0.99,0.73,0.63,0.91
3054_000.0,4.0,0.9,0.56,0.91,0.83,0.51,0.86,0.69,0.44,0.78
3056_000.0,4.0,0.45,0.38,0.82,0.41,0.35,0.75,0.34,0.31,0.68
