SEGID,PERIOD,SEASONGROUP,DOWGROUP,HRPCTOF,VCGroupCode,numRecords,CAP1HLSum,PrdPCEFlowSum,PkHrPCEFlowSum,Pk15PCEFlowSum,PrdVCMax,PkHrVCMax,Pk15VCMax
0013_002.5,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1858,1210,1395,1516,0.34,0.39,0.43
0013_002.5,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1858,1844,2051,2229,0.5,0.56,0.61
0013_002.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1936,500,601,653,0.28,0.34,0.37
0013_002.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1936,449,518,562,0.25,0.29,0.31
0013_002.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1936,683,760,827,0.38,0.42,0.46
0013_003.3,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2008,636,768,872,0.32,0.39,0.44
0013_003.3,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2008,544,626,712,0.27,0.32,0.36
0013_003.3,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2008,867,993,1129,0.44,0.5,0.57
0013_004.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,2064,982,1155,1312,0.53,0.62,0.71
0013_004.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,2064,814,936,1064,0.4,0.45,0.52
0013_004.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,2064,1311,1421,1615,0.68,0.74,0.84
0013_005.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,1956,1020,1201,1332,0.74,0.87,0.96
0013_005.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,1956,865,993,1130,0.57,0.66,0.75
0013_005.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,1956,1375,1491,1661,0.83,0.9,0.99
0015_241.6,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,3888,3731,4143,4503,0.5,0.56,0.61
0015_241.6,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,3888,2858,3208,3488,0.39,0.43,0.47
0015_241.6,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,3888,4817,5073,5515,0.71,0.75,0.82
0015_242.4,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,3888,3859,4284,4658,0.51,0.57,0.62
0015_242.4,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,3888,2997,3364,3657,0.4,0.45,0.49
0015_242.4,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,3888,4881,5140,5587,0.69,0.73,0.79
0015_244.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,4103,5669,6295,6729,0.78,0.87,0.91
0015_244.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,4103,4595,5159,5607,0.59,0.66,0.71
0015_244.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,4103,7253,7637,8181,0.87,0.92,0.97
0015_246.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,3806,5669,6295,6729,0.78,0.87,0.91
0015_246.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,3806,4595,5159,5607,0.59,0.66,0.71
0015_246.9,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,3806,7253,7637,8181,0.87,0.92,0.97
0015_248.8,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,2,3806,7160,7950,8642,0.69,0.76,0.83
0015_248.8,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,2,3806,6076,6822,7415,0.54,0.6,0.66
0015_248.8,PM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkPM,2,3806,9413,9912,10593,0.88,0.93,0.98
0015_250.9,AM,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkAM,4,6715,8168,9068,9857,0.6,0.67,0.73
0015_250.9,MD,S00-Ann,1-Weekday (Tu-Th),Prd,AnnWkMD,4,6715,7044,7909,8596,0.47,0.53,0.57
